Date & Time,Amount Outgoing (Yen),Amount Incoming (Yen),Amount Outgoing Overseas,Currency,Exchange Rate (Yen),Country Paid In,Transaction Type,Business Name,Method,Payment Option,User,Transaction ID
2025/11/21 16:02:24,"1,320,000",-,-,-,-,-,Payment,ＳＱ＊ＳＴＡＲ　ＣＬＩＮＩＣ,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_A_2025112116022400538828
2025/11/21 15:12:19,-,"1,752",-,-,-,-,"Points, Balance Earned",TRIP.COM,PayPay Point,-,-,PPCD_A_2025111823010800501988
2025/11/21 15:11:47,-,"3,508",-,-,-,-,"Points, Balance Earned",TRIP.COM,PayPay Point,-,-,PPCD_A_2025111823010700501964
2025/11/21 14:56:02,"2,000,000",-,-,-,-,-,Payment,ＳＱ＊ＳＴＡＲ　ＣＬＩＮＩＣ,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_A_2025112114560200350542
2025/11/21 13:08:03,-,824,-,-,-,-,"Points, Balance Earned",平城苑,PayPay Point,-,-,04849468894445518851
2025/11/21 13:08:02,"41,300",-,-,-,-,-,Payment,平城苑 - 銀座５丁目店,Credit Mastercard 5298,-,-,04849468894445518851
2025/11/21 09:03:35,"2,000",-,-,-,-,-,Payment,モバイルＰＡＳＭＯチャージ,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_A_2025112109033500654875
2025/11/21 01:20:12,148,-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04849104079922946048
2025/11/20 15:26:06,-,8,-,-,-,-,"Points, Balance Earned",トブチケ！,PayPay Point,-,-,PPCD_A_2025111408175500364957
2025/11/20 12:08:01,"1,390",-,-,-,-,-,Payment,穂のほまれ／ＮＦＣ,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_A_2025112012080100572157
2025/11/20 03:19:32,216,-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04848423404915974147
2025/11/19 21:59:52,-,24,-,-,-,-,"Points, Balance Earned",餃子の王将　ネット・モバイル,PayPay Point,-,-,04848157366052356096
